app.js 33ms (unchanged)
src/posts/topics.js 3ms (unchanged)
src/posts/uploads.js 6ms (unchanged)
src/posts/user.js 7ms (unchanged)
src/posts/votes.js 6ms (unchanged)
src/prestart.js 3ms (unchanged)
src/privileges/admin.js 4ms (unchanged)
src/privileges/categories.js 5ms (unchanged)
src/privileges/global.js 4ms (unchanged)
src/privileges/helpers.js 6ms (unchanged)
src/privileges/index.js 0ms (unchanged)
src/privileges/posts.js 5ms (unchanged)
src/privileges/topics.js 4ms (unchanged)
src/privileges/users.js 3ms (unchanged)
src/promisify.js 1ms (unchanged)
src/pubsub.js 1ms (unchanged)
src/request.js 2ms (unchanged)
src/rewards/admin.js 2ms (unchanged)
src/rewards/index.js 2ms (unchanged)
src/routes/admin.js 3ms (unchanged)
src/routes/api.js 1ms (unchanged)
src/routes/authentication.js 3ms (unchanged)
src/routes/debug.js 0ms (unchanged)
src/routes/feeds.js 7ms (unchanged)
src/routes/helpers.js 1ms (unchanged)
src/routes/index.js 4ms (unchanged)
src/routes/meta.js 1ms (unchanged)
src/routes/user.js 1ms (unchanged)
src/routes/write/admin.js 1ms (unchanged)
src/routes/write/categories.js 2ms (unchanged)
src/routes/write/chats.js 2ms (unchanged)
src/routes/write/files.js 0ms (unchanged)
src/routes/write/flags.js 1ms (unchanged)
src/routes/write/groups.js 2ms (unchanged)
src/routes/write/index.js 2ms (unchanged)
src/routes/write/posts.js 1ms (unchanged)
src/routes/write/search.js 1ms (unchanged)
src/routes/write/tags.js 0ms (unchanged)
src/routes/write/topics.js 2ms (unchanged)
src/routes/write/users.js 2ms (unchanged)
src/routes/write/utilities.js 1ms (unchanged)
src/search.js 8ms (unchanged)
src/settings.js 4ms (unchanged)
src/sitemap.js 3ms (unchanged)
src/slugify.js 0ms (unchanged)
src/social.js 1ms (unchanged)
src/socket.io/admin.js 2ms (unchanged)
src/socket.io/admin/analytics.js 1ms (unchanged)
src/socket.io/admin/cache.js 1ms (unchanged)
src/socket.io/admin/categories.js 1ms (unchanged)
src/socket.io/admin/config.js 0ms (unchanged)
src/socket.io/admin/digest.js 1ms (unchanged)
src/socket.io/admin/email.js 1ms (unchanged)
src/socket.io/admin/errors.js 0ms (unchanged)
src/socket.io/admin/logs.js 1ms (unchanged)
src/socket.io/admin/navigation.js 1ms (unchanged)
src/socket.io/admin/plugins.js 1ms (unchanged)
src/socket.io/admin/rewards.js 1ms (unchanged)
src/socket.io/admin/rooms.js 2ms (unchanged)
src/socket.io/admin/settings.js 0ms (unchanged)
src/socket.io/admin/tags.js 0ms (unchanged)
src/socket.io/admin/themes.js 0ms (unchanged)
src/socket.io/admin/user.js 3ms (unchanged)
src/socket.io/admin/widgets.js 1ms (unchanged)
src/socket.io/blacklist.js 1ms (unchanged)
src/socket.io/categories.js 3ms (unchanged)
src/socket.io/categories/search.js 0ms (unchanged)
src/socket.io/groups.js 2ms (unchanged)
src/socket.io/helpers.js 5ms (unchanged)
src/socket.io/index.js 5ms (unchanged)
src/socket.io/meta.js 1ms (unchanged)
src/socket.io/modules.js 3ms (unchanged)
src/socket.io/notifications.js 2ms (unchanged)
src/socket.io/plugins.js 0ms (unchanged)
src/socket.io/posts.js 3ms (unchanged)
src/socket.io/posts/tools.js 2ms (unchanged)
src/socket.io/posts/votes.js 0ms (unchanged)
src/socket.io/topics.js 3ms (unchanged)
src/socket.io/topics/infinitescroll.js 2ms (unchanged)
src/socket.io/topics/merge.js 0ms (unchanged)
src/socket.io/topics/move.js 1ms (unchanged)
src/socket.io/topics/tags.js 2ms (unchanged)
src/socket.io/topics/tools.js 1ms (unchanged)
src/socket.io/topics/unread.js 1ms (unchanged)
src/socket.io/uploads.js 1ms (unchanged)
src/socket.io/user.js 3ms (unchanged)
src/socket.io/user/picture.js 1ms (unchanged)
src/socket.io/user/profile.js 1ms (unchanged)
src/socket.io/user/registration.js 0ms (unchanged)
src/socket.io/user/status.js 0ms (unchanged)
src/start.js 2ms (unchanged)
src/topics/bookmarks.js 2ms (unchanged)
src/topics/create.js 6ms (unchanged)
src/topics/data.js 3ms (unchanged)
src/topics/delete.js 3ms (unchanged)
src/topics/events.js 6ms (unchanged)
src/topics/follow.js 3ms (unchanged)
src/topics/fork.js 3ms (unchanged)
src/topics/index.js 7ms (unchanged)
src/topics/merge.js 1ms (unchanged)
src/topics/posts.js 9ms (unchanged)
src/topics/recent.js 2ms (unchanged)
src/topics/scheduled.js 4ms (unchanged)
src/topics/sorted.js 6ms (unchanged)
src/topics/suggested.js 2ms (unchanged)
src/topics/tags.js 15ms (unchanged)
src/topics/teaser.js 4ms (unchanged)
src/topics/thumbs.js 4ms (unchanged)
src/topics/tools.js 6ms (unchanged)
src/topics/unread.js 12ms (unchanged)
src/topics/user.js 0ms (unchanged)
src/translator.js 0ms (unchanged)
src/upgrade.js 6ms (unchanged)
src/upgrades/1.0.0/chat_room_hashes.js 1ms (unchanged)
src/upgrades/1.0.0/chat_upgrade.js 2ms (unchanged)
src/upgrades/1.0.0/global_moderators.js 1ms (unchanged)
src/upgrades/1.0.0/social_post_sharing.js 1ms (unchanged)
src/upgrades/1.0.0/theme_to_active_plugins.js 0ms (unchanged)
src/upgrades/1.0.0/user_best_posts.js 1ms (unchanged)
src/upgrades/1.0.0/users_notvalidated.js 1ms (unchanged)
src/upgrades/1.1.0/assign_topic_read_privilege.js 1ms (unchanged)
src/upgrades/1.1.0/dismiss_flags_from_deleted_topics.js 2ms (unchanged)
src/upgrades/1.1.0/group_title_update.js 0ms (unchanged)
src/upgrades/1.1.0/separate_upvote_downvote.js 1ms (unchanged)
src/upgrades/1.1.0/user_post_count_per_tid.js 1ms (unchanged)
src/upgrades/1.1.1/remove_negative_best_posts.js 0ms (unchanged)
src/upgrades/1.1.1/upload_privileges.js 0ms (unchanged)
src/upgrades/1.10.0/hash_recent_ip_addresses.js 1ms (unchanged)
src/upgrades/1.10.0/post_history_privilege.js 1ms (unchanged)
src/upgrades/1.10.0/search_privileges.js 1ms (unchanged)
src/upgrades/1.10.0/view_deleted_privilege.js 1ms (unchanged)
src/upgrades/1.10.2/event_filters.js 1ms (unchanged)
src/upgrades/1.10.2/fix_category_post_zsets.js 1ms (unchanged)
src/upgrades/1.10.2/fix_category_topic_zsets.js 1ms (unchanged)
src/upgrades/1.10.2/local_login_privileges.js 0ms (unchanged)
src/upgrades/1.10.2/postgres_sessions.js 0ms (unchanged)
src/upgrades/1.10.2/upgrade_bans_to_hashes.js 1ms (unchanged)
src/upgrades/1.10.2/username_email_history.js 0ms (unchanged)
src/upgrades/1.11.0/navigation_visibility_groups.js 2ms (unchanged)
src/upgrades/1.11.0/resize_image_width.js 0ms (unchanged)
src/upgrades/1.11.0/widget_visibility_groups.js 0ms (unchanged)
src/upgrades/1.11.1/remove_ignored_cids_per_user.js 0ms (unchanged)
src/upgrades/1.12.0/category_watch_state.js 1ms (unchanged)
src/upgrades/1.12.0/global_view_privileges.js 1ms (unchanged)
src/upgrades/1.12.0/group_create_privilege.js 0ms (unchanged)
src/upgrades/1.12.1/clear_username_email_history.js 1ms (unchanged)
src/upgrades/1.12.1/moderation_notes_refactor.js 1ms (unchanged)
src/upgrades/1.12.1/post_upload_sizes.js 0ms (unchanged)
src/upgrades/1.12.3/disable_plugin_metrics.js 0ms (unchanged)
src/upgrades/1.12.3/give_mod_info_privilege.js 1ms (unchanged)
src/upgrades/1.12.3/give_mod_privileges.js 1ms (unchanged)
src/upgrades/1.12.3/update_registration_type.js 1ms (unchanged)
src/upgrades/1.12.3/user_pid_sets.js 1ms (unchanged)
src/upgrades/1.13.0/clean_flag_byCid.js 1ms (unchanged)
src/upgrades/1.13.0/clean_post_topic_hash.js 2ms (unchanged)
src/upgrades/1.13.0/cleanup_old_notifications.js 1ms (unchanged)
src/upgrades/1.13.3/fix_users_sorted_sets.js 1ms (unchanged)
src/upgrades/1.13.4/remove_allowFileUploads_priv.js 0ms (unchanged)
src/upgrades/1.14.0/fix_category_image_field.js 1ms (unchanged)
src/upgrades/1.14.0/unescape_navigation_titles.js 1ms (unchanged)
src/upgrades/1.14.1/readd_deleted_recent_topics.js 1ms (unchanged)
src/upgrades/1.15.0/add_target_uid_to_flags.js 1ms (unchanged)
src/upgrades/1.15.0/consolidate_flags.js 1ms (unchanged)
src/upgrades/1.15.0/disable_sounds_plugin.js 0ms (unchanged)
src/upgrades/1.15.0/fix_category_colors.js 1ms (unchanged)
src/upgrades/1.15.0/fullname_search_set.js 1ms (unchanged)
src/upgrades/1.15.0/remove_allow_from_uri.js 1ms (unchanged)
src/upgrades/1.15.0/remove_flag_reporters_zset.js 1ms (unchanged)
src/upgrades/1.15.0/topic_poster_count.js 1ms (unchanged)
src/upgrades/1.15.0/track_flags_by_target.js 0ms (unchanged)
src/upgrades/1.15.0/verified_users_group.js 2ms (unchanged)
src/upgrades/1.15.4/clear_purged_replies.js 1ms (unchanged)
src/upgrades/1.16.0/category_tags.js 1ms (unchanged)
src/upgrades/1.16.0/migrate_thumbs.js 1ms (unchanged)
src/upgrades/1.17.0/banned_users_group.js 0ms (unchanged)
src/upgrades/1.17.0/category_name_zset.js 1ms (unchanged)
src/upgrades/1.17.0/default_favicon.js 1ms (unchanged)
src/upgrades/1.17.0/schedule_privilege_for_existing_categories.js 1ms (unchanged)
src/upgrades/1.17.0/subcategories_per_page.js 1ms (unchanged)
